P_1,P_2,P_3,P_4,P_5,disp1,disp2,disp3,disp4,disp5,feat1,feat2,feat3,feat4,feat5
0.05235995836249792,0.05463651258351786,0.04039733500000069,0.03865317862499634,0.019543524375004624,0,0,0,1,0,0,1,0,0,0
0.049893875424996126,0.046833736068158084,0.040204002000000474,0.03496174549999443,0.018670025625005297,0,0,0,0,1,0,0,0,0,1
0.049741591962496015,0.04935854393011326,0.042014797000002525,0.031359215999992564,0.01993619812500432,0,0,0,1,0,0,0,0,1,0
0.053373666187498656,0.04936716102179229,0.03283556399999213,0.03940692674999673,0.020278785937504058,0,0,0,0,1,1,0,0,0,0
0.054169176812499234,0.05882011059368591,0.036797528999996616,0.04003698287499706,0.019759895625004457,0,1,0,0,0,0,0,1,0,0
0.055530636425000224,0.04193491944863072,0.03966757099999987,0.040125886499997106,0.018281358750005597,0,1,0,0,0,0,0,0,1,0
0.054432831762499426,0.041473905043802724,0.033608895999993005,0.04270022624999844,0.018541805625005396,0,0,0,1,0,1,0,0,0,0
0.05016207614999632,0.04546792703703216,0.04185141700000234,0.042035381749998095,0.02572613249999986,1,0,0,0,0,0,0,0,1,0
0.05028708496249641,0.05418411527036889,0.03743471099999734,0.02851429999999109,0.023199797812501807,0,1,0,0,0,1,0,0,0,0
0.052134942499997755,0.04277508588733594,0.03452926999999405,0.03994421387499701,0.025794249374999807,0,0,1,0,0,0,0,0,1,0
0.05017116769999633,0.05791100742154846,0.040947381000001316,0.02741653349999052,0.019577582812504598,0,0,0,1,0,0,0,0,1,0
0.05525334415000002,0.04424860856444971,0.04207198000000259,0.029001337249991342,0.02196367687500276,1,0,0,0,0,0,0,0,0,1
0.05369187043749889,0.04515340319074764,0.03852118799999857,0.03191582999999285,0.018375520312505524,0,0,0,1,0,0,0,0,0,1
0.05396688982499909,0.056670146219768444,0.0396076649999998,0.046322082625000316,0.025457671875000067,0,1,0,0,0,1,0,0,0,0
0.04890516936249541,0.05026333855641119,0.03438767399999389,0.038042449374996026,0.01841959593750549,0,1,0,0,0,0,1,0,0,0
0.047718722087494544,0.05077605551131335,0.04153282600000198,0.032190271624992994,0.026601634687499185,0,0,1,0,0,0,0,1,0,0
0.053332754212498626,0.04042692840480083,0.04276089900000337,0.027830128624990735,0.021745302187502927,0,1,0,0,0,0,1,0,0,0
0.04815511648749486,0.04906987135886583,0.032585047999991845,0.03217867549999299,0.02323385625000178,1,0,0,0,0,1,0,0,0,0
